Month,Mean,LogMean,Median,LogMedian,Max,LogMax,StandardDeviation,LogStandardDeviation,Percentile50,LogPercentile50,Percentile75,LogPercentile75,Percentile90,LogPercentile90,Percentile99,LogPercentile99,Percentile9999,LogPercentile9999
2020-01,0.9880241634506243,-0.012048124599504934,1.0,0.0,1.13084,0.12296071939880601,0.03202505419363022,-3.4412367389718805,1.0,0.0,1.0,0.0,1.01432,0.01421843723755561,1.08691,0.08333880802310496,1.129753199999999,0.12199920179030273
2020-02,0.9860568700895934,-0.014041248467136492,1.0,0.0,1.14713,0.13726317087043513,0.07578512859593146,-2.5798531982479216,1.0,0.0,1.06605,0.06396022895887675,1.06685,0.06471038136875566,1.06689,0.06474787422168479,1.1428887379999975,0.1335590379923837
2020-03,1.020126146102507,0.019926292298864792,1.06572,0.06365062707627599,1.29522,0.2586805648927038,0.08149913724288019,-2.507162844768282,1.06572,0.06365062707627599,1.06685,0.06471038136875566,1.07236,0.06986182716891665,1.12695,0.11951486850114217,1.2499670959999982,0.2231172277677468
2020-04,1.0479312883284777,0.046818019177336655,1.06605,0.06396022895887675,1.39041,0.32959866767804064,0.061121038598582186,-2.7948991414903976,1.06605,0.06396022895887675,1.07236,0.06986182716891665,1.08213,0.07893132108141888,1.1442,0.13470570285229141,1.2984678109999825,0.26118496244103834
2020-05,1.0646086469133087,0.06260726394155926,1.0668250000000001,0.06468694762181568,1.73241,0.5495135026806264,0.04921668695300506,-3.0115225472760776,1.0668250000000001,0.06468694762181568,1.07252,0.07001101966481078,1.102128,0.09724285643563996,1.1887357,0.17289030536241684,1.5883017569999587,0.4626653680725257
2020-06,1.0730054334424441,0.07046352742180215,1.07211,0.06962866932466362,1.5989,0.46931589280923763,0.04030047255971633,-3.2113920840506975,1.07211,0.06962866932466362,1.08213,0.07893132108141888,1.11807,0.11160398457966782,1.1951125,0.17824032321178382,1.5796707499999945,0.4572164392475274
2020-07,1.0863359266692612,0.08281049842220191,1.08182,0.07864480798996974,1.82923,0.603895113279564,0.04250816081480233,-3.1580592023132676,1.08182,0.07864480798996974,1.12114,0.11434602478452184,1.12203,0.11513954471096599,1.21925,0.1982359156080249,1.5212519999999368,0.41953368002699315
2020-08,1.092575791862064,0.08853802028341289,1.09163,0.08767199206876378,1.89455,0.6389813433161631,0.044131523680443104,-3.120580929207602,1.09163,0.08767199206876378,1.12114,0.11434602478452184,1.134589,0.12627047081662005,1.2194396,0.1983914089519766,1.6604852359997857,0.5071098704972055
2020-09,1.102188456831043,0.09729770956788487,1.09709,0.09266121986038112,1.91062,0.6474277967148206,0.05031530945034167,-2.989445885355559,1.09709,0.09266121986038112,1.12119,0.11439062125338072,1.15012,0.13986628475738996,1.2575469000000004,0.2291629185189347,1.6874515379998627,0.5232194251298682
2020-10,1.1121406056240533,0.1062866317415564,1.10363,0.098604746753755,1.89742,0.6404950686610462,0.05004782939450013,-2.9947761429026145,1.10363,0.098604746753755,1.12812,0.12055253039632279,1.16749,0.15485614521374028,1.27749,0.24489721527643546,1.7220931479999826,0.5435404974577749
