Month,Mean,LogMean,Median,LogMedian,Max,LogMax,StandardDeviation,LogStandardDeviation,Percentile50,LogPercentile50,Percentile75,LogPercentile75,Percentile90,LogPercentile90,Percentile99,LogPercentile99,Percentile99.99,LogPercentile99.99
2020-02,1.053143582383184,0.05177957939585286,1.0,0.0,1.4665825237,0.38293488040582724,0.1392450095221014,-1.9715202390783397,1.0,0.0,1.2263369361,0.2040316252865808,1.2263369361,0.2040316252865808,1.2265513428,0.20420644507139568,1.4603510761376766,0.37867686992162347
2020-03,1.1508560083603818,0.1405060205762853,1.2263369361,0.2040316252865808,1.7807153429,0.5770151616063534,0.14004165729479193,-1.9658153485270244,1.2263369361,0.2040316252865808,1.2264852687,0.20415257380041157,1.2267861628,0.20439787409425214,1.2604856679,0.23149709741062938,1.590540560095858,0.46407393335682323
2020-04,1.1976626732915816,0.18037188516178915,1.2264827981,0.20415055942441251,2.2716384913,0.8205013734540927,0.09705743025327761,-2.332452411212991,1.2264827981,0.20415055942441251,1.2267735128,0.20438756254558585,1.2280210612,0.20540398039220942,1.3455202949,0.2967807746087864,1.6580505986,0.5056425741002778
2020-05,1.2190514103109642,0.1980730237779705,1.2265798029,0.20422964815212047,2.5194457799,0.9240389487243773,0.09577900106244129,-2.34571181362257,1.2265798029,0.20422964815212047,1.227162095,0.20470426376791034,1.24552188,0.2195546228078674,1.4100480958,0.343623814304781,2.3683506345598953,0.8621937780871615
2020-06,1.2328670801547685,0.20934241638799975,1.2267735128,0.20438756254558585,2.4017442647,0.8761952503377524,0.07120856377516552,-2.642142190055906,1.2267735128,0.20438756254558585,1.2300029865,0.20701659743015888,1.26097332735,0.23188390477652257,1.4403377964000001,0.3648776669114611,2.3975057644,0.8744289321104177
2020-07,1.2498007549355998,0.22298414255778892,1.2291053029,0.20628650868722415,3.1487289123,1.1469988514967149,0.07510787923601252,-2.58882980912403,1.2291053029,0.20628650868722415,1.2447435008,0.2189294852371086,1.3172868604999999,0.2755742126347034,1.516536929320002,0.4164293995282091,2.402747024093531,0.8766126761786235
2020-08,1.254237826089771,0.2265280782077704,1.2368026308,0.2125295259509574,3.1270679587,1.1400958111145088,0.07775859196205227,-2.5541462264777914,1.2368026308,0.2125295259509574,1.2607382389000001,0.23169745327760635,1.3493259346,0.2996051600510335,1.5242603171,0.4215092544231962,2.733312196143756,1.005514132454059
2020-09,1.2805460244992837,0.24728656861151035,1.2503382814,0.22341413982183725,3.174543732,1.1551639155612,0.096776218152915,-2.335353995122421,1.2503382814,0.22341413982183725,1.3474097245999999,0.29818402682578454,1.3574515429,0.3056090763509045,1.5898999050520006,0.46367106145304576,2.651821273030497,0.9752466767760023
2020-10,1.3028587214964626,0.26456086670510914,1.2868989975,0.2522354465133711,3.2784468627,1.1873697927817402,0.09419707963247656,-2.362366099658765,1.2868989975,0.2522354465133711,1.3572728537,0.3054774319007483,1.3699151297,0.3147487887970198,1.6231481751480001,0.4843675814372189,2.8142962909422606,1.0347122448844013
2020-11,1.3307854773872738,0.28576935240897816,1.31709101075,0.27542552496730527,3.4139169145,1.2278602873742905,0.14869811767490237,-1.90583708413749,1.31709101075,0.27542552496730527,1.3573372955,0.3055249096573839,1.39062588677,0.3297539240495681,2.053591367,0.7195901467287935,2.9250947921148747,1.0733268877193471
2020-12,1.445455839659222,0.3684247317891404,1.3549918157,0.3037954142396222,3.5022256691,1.2533986718503096,0.27907316592177145,-1.2762812880933643,1.3549918157,0.3037954142396222,1.4461366666,0.3688956328250818,2.0489305517,0.7173179749293062,2.0688507331,0.7269932516949433,3.143835792557387,1.1454436443726397
2021-01,1.591203370898909,0.46449056701874814,1.37800758,0.3206386733020273,3.551704304,1.2674275739168896,0.3433639614721662,-1.0689642822340197,1.37800758,0.3206386733020273,2.0488929394,0.7172996177208599,2.05350038212,0.7195458404967575,2.1466738475860003,0.7639195965913155,3.2750207368,1.1863242009144974
2021-02,1.7485498737290575,0.558786800837152,1.9604881589000003,0.6731935028952332,3.6869414938,1.3047972508863444,0.34562009124248017,-1.0624151093597978,1.9604881589000003,0.6731935028952332,2.0501304693,0.7179034346861269,2.0539323778,0.7197561887638346,2.3150095377,0.8394138074865138,3.4103885736,1.2268262360058264
2021-03,1.926293137266908,0.655597501829423,2.0490500152999997,0.7173762785732989,3.831072199,1.3431447115341417,0.2855373164446276,-1.2533825528419174,2.0490500152999997,0.7173762785732989,2.0518338423999998,0.7187339505407143,2.0655860870000002,0.725414005514358,2.3458108472,0.8526311191887023,3.412688655800574,1.2275004427340719
2021-04,2.057433518949301,0.7214593414792819,2.0502868571,0.7179797136536696,3.8251031685,1.3415854390716198,0.28856373473188845,-1.242839299817821,2.0502868571,0.7179797136536696,2.0560170935000004,0.720770661517502,2.3118813392,0.8380616256175835,3.3374265484,1.2052000155141516,3.557625973481643,1.2690934610314255
2021-05,2.247597206373566,0.8098617373175852,2.0509218453,0.718289372708427,4.2270742515999995,1.4415100874582876,0.4745698495072824,-0.7453464652174349,2.0509218453,0.718289372708427,2.2765769335999995,0.8226729699064952,3.2753283374,1.1864181197566055,3.3986768066,1.2233861813446434,3.7443123761071706,1.320237988924249
2021-06,2.8338653686589663,1.0416416343739872,3.2724935604,1.185552251007774,4.191750818199999,1.4331185030286995,0.6297330555695763,-0.46245927070993564,3.2724935604,1.185552251007774,3.3978817679000004,1.2231522280299147,3.3986029312,1.2233644445902792,3.5332489098,1.2622178187116286,3.845511743315736,1.346906687291543
